Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
141183500; 141213876; 20202; 146047550; []; 207; 214; 210; 217; -7; 419193412.910250; 410592624.260313; 2.051747; 419193412.910250; 419193412.910250; 410592624.260313; 100.000000; 102.094726; 
141183500; 141213876; 5735; 142042632; []; 1; 2; 2; 2; 0; 962275754.410330; 957535182.450942; 0.492642; 962275754.410330; 962275754.410330; 957535182.450942; 100.000000; 100.495081; 
141183500; 141213691; 20202; 146098428; []; 241; 218; 251; 229; 22; 350895792.717082; 339318047.859897; 3.299482; 350895792.717082; 350895792.717082; 339318047.859897; 100.000000; 103.412063; 
141183500; 141213691; 5735; 142042677; []; 1; 2; 1; 2; -1; 895695418.073315; 868759141.500000; 3.007303; 895695418.073315; 895695418.073315; 868759141.500000; 100.000000; 103.100546; 
141183500; 141213511; 20202; 146152956; []; 196; 301; 201; 311; -110; 313356277.166805; 269650353.707660; 13.947678; 313356277.166805; 313356277.166805; 269650353.707660; 100.000000; 116.208369; 
141183500; 141213511; 5735; 142042735; []; 1; 1; 1; 1; 0; 963785458.500000; 963785458.500000; 0.000000; 963785458.500000; 963785458.500000; 963785458.500000; 100.000000; 100.000000; 
141183500; 141213313; 20202; 146244473; []; 216; 229; 218; 232; -14; 276584688.330541; 246834395.079115; 10.756305; 276584688.330541; 276584688.330541; 246834395.079115; 100.000000; 112.052734; 
141183500; 141213313; 5735; 142042767; []; 1; 2; 1; 2; -1; 871957630.500000; 871957630.500000; 0.000000; 871957630.500000; 871957630.500000; 871957630.500000; 100.000000; 100.000000; 
141183500; 141213116; 20202; 146295987; []; 202; 202; 208; 208; 0; 257856896.858791; 258367872.858791; -0.198163; 257856896.858791; 257856896.858791; 258367872.858791; 100.000000; 99.802229; 
141183500; 141213116; 5735; 142042812; []; 1; 2; 1; 2; -1; 769233288.793460; 765395592.000000; 0.498899; 769233288.793460; 769233288.793460; 765395592.000000; 100.000000; 100.501400; 
141183500; 141212909; 20202; 146349047; []; 35; 48; 35; 50; -15; 32899847.907838; 31605879.236849; 3.933054; 32899847.907838; 32899847.907838; 31605879.236849; 100.000000; 104.094076; 
141183500; 141212909; 5735; 142042870; []; 1; 1; 1; 1; 0; 543637310.442524; 542398740.000000; 0.227830; 543637310.442524; 543637310.442524; 542398740.000000; 100.000000; 100.228351; 
