Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
132961573; 133069451; 20202; 134888583; []; 4; 34; 4; 34; -30; 56764468.703557; 58403983.131464; -2.888276; 56764468.703557; 56764468.703557; 58403983.131464; 100.000000; 97.192804; 
132961573; 133069451; 5735; 133693339; []; 1; 2; 1; 2; -1; 613817045.830771; 627202112.500000; -2.180628; 613817045.830771; 613817045.830771; 627202112.500000; 100.000000; 97.865909; 
132961573; 133069268; 20202; 134895256; []; 22; 51; 25; 55; -30; 547911538.857125; 486342458.197043; 11.237048; 547911538.857125; 547911538.857125; 486342458.197043; 100.000000; 112.659615; 
132961573; 133069268; 5735; 133069660; []; 1; 3; 6; 3; 3; 1395432898.723243; 1556297848.000000; -11.527960; 1395432898.723243; 1395432898.723243; 1556297848.000000; 100.000000; 89.663614; 
132961573; 133069076; 20202; 134936381; []; 2; 7; 2; 7; -5; 35137565.567964; 37789785.547729; -7.548104; 35137565.567964; 35137565.567964; 37789785.547729; 100.000000; 92.981649; 
132961573; 133069076; 5735; 133685635; []; 1; 2; 1; 2; -1; 591205200.774294; 616322830.500000; -4.248547; 591205200.774294; 591205200.774294; 616322830.500000; 100.000000; 95.924599; 
132961573; 133068881; 20202; 134944015; []; 3; 15; 3; 15; -12; 47324808.688303; 59434691.541152; -25.588868; 47324808.688303; 47324808.688303; 59434691.541152; 100.000000; 79.624892; 
132961573; 133068881; 5735; 133685680; []; 1; 2; 1; 2; -1; 681675219.000000; 690125994.000000; -1.239707; 681675219.000000; 681675219.000000; 690125994.000000; 100.000000; 98.775474; 
132961573; 133068693; 20202; 134963959; []; 16; 46; 18; 49; -31; 553336570.790242; 562728368.264957; -1.697303; 553336570.790242; 553336570.790242; 562728368.264957; 100.000000; 98.331025; 
132961573; 133068693; 5735; 133069754; []; 1; 5; 6; 5; 1; 1344837331.243732; 1484278992.000000; -10.368664; 1344837331.243732; 1344837331.243732; 1484278992.000000; 100.000000; 90.605428; 
