Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
669418; 672363; 20202; 
669418; 672363; 5735; 18; [];2; 2; 2; 2; 0; 225228800.000000; 225228800.000000; 0.000000; 225228800.000000; 225228800.000000; 225228800.000000; 100.000000; 100.000000; 
669418; 672355; 20202; 
669418; 672355; 5735; 18; [];2; 2; 2; 2; 0; 222457856.000000; 222457856.000000; 0.000000; 222457856.000000; 222457856.000000; 222457856.000000; 100.000000; 100.000000; 
669418; 672347; 20202; 
669418; 672347; 5735; 18; [];2; 2; 2; 2; 0; 211195904.000000; 211195904.000000; 0.000000; 211195904.000000; 211195904.000000; 211195904.000000; 100.000000; 100.000000; 
669418; 672333; 20202; 8612953; []; 1; 11; 1; 11; -10; 184978.669612; 228739.363656; -23.657157; 184978.669612; 184978.669612; 228739.363656; 100.000000; 80.868752; 
669418; 672333; 5735; 18; [];2; 2; 2; 2; 0; 208922624.000000; 208922624.000000; 0.000000; 208922624.000000; 208922624.000000; 208922624.000000; 100.000000; 100.000000; 
669418; 672319; 20202; 8617256; []; 1; 6; 1; 6; -5; 113802.804952; 153503.573825; -34.885580; 113802.804952; 113802.804952; 153503.573825; 100.000000; 74.136909; 
669418; 672319; 5735; 18; [];2; 2; 2; 2; 0; 192929792.000000; 192929792.000000; 0.000000; 192929792.000000; 192929792.000000; 192929792.000000; 100.000000; 100.000000; 
669418; 672311; 20202; 8623678; []; 31; 31; 34; 51; -17; 48641185.789920; 39903008.627864; 17.964564; 48641185.789920; 48641185.789920; 39903008.627864; 100.000000; 121.898542; 
669418; 672311; 5735; 18; [];2; 2; 2; 2; 0; 186237696.000000; 186237696.000000; 0.000000; 186237696.000000; 186237696.000000; 186237696.000000; 100.000000; 100.000000; 
669418; 672303; 20202; 6982; [];1; 1; 1; 1; 0; 52684928.000000; 52684928.000000; 0.000000; 52684928.000000; 52684928.000000; 52684928.000000; 100.000000; 100.000000; 
669418; 672303; 5735; 18; [];2; 2; 2; 2; 0; 220355328.000000; 220355328.000000; 0.000000; 220355328.000000; 220355328.000000; 220355328.000000; 100.000000; 100.000000; 
669418; 672295; 20202; 6982; [];1; 1; 1; 1; 0; 49214592.000000; 49214592.000000; 0.000000; 49214592.000000; 49214592.000000; 49214592.000000; 100.000000; 100.000000; 
669418; 672295; 5735; 18; [];2; 2; 2; 2; 0; 183169408.000000; 183169408.000000; 0.000000; 183169408.000000; 183169408.000000; 183169408.000000; 100.000000; 100.000000; 
669418; 672278; 20202; 6982; [];1; 1; 1; 1; 0; 52914656.914286; 52914656.914286; 0.000000; 52914656.914286; 52914656.914286; 52914656.914286; 100.000000; 100.000000; 
669418; 672278; 5735; 18; [];2; 2; 2; 2; 0; 197595648.000000; 197595648.000000; 0.000000; 197595648.000000; 197595648.000000; 197595648.000000; 100.000000; 100.000000; 
669418; 672267; 20202; 8633701; []; 6; 6; 6; 6; 0; 458668.998003; 190494.348354; 58.468013; 458668.998003; 458668.998003; 190494.348354; 100.000000; 240.778271; 
669418; 672267; 5735; 18; [];2; 2; 2; 2; 0; 277360000.000000; 277360000.000000; 0.000000; 277360000.000000; 277360000.000000; 277360000.000000; 100.000000; 100.000000; 
669418; 672253; 20202; 6982; [];1; 1; 1; 1; 0; 50814.000000; 50814.000000; 0.000000; 50814.000000; 50814.000000; 50814.000000; 100.000000; 100.000000; 
669418; 672253; 5735; 18; [];2; 2; 2; 2; 0; 238553344.000000; 238553344.000000; 0.000000; 238553344.000000; 238553344.000000; 238553344.000000; 100.000000; 100.000000; 
669418; 672247; 20202; 
669418; 672247; 5735; 18; [];2; 2; 2; 2; 0; 254371584.000000; 254371584.000000; 0.000000; 254371584.000000; 254371584.000000; 254371584.000000; 100.000000; 100.000000; 
669418; 672237; 20202; 
669418; 672237; 5735; 18; [];2; 2; 2; 2; 0; 230447360.000000; 230447360.000000; 0.000000; 230447360.000000; 230447360.000000; 230447360.000000; 100.000000; 100.000000; 
669418; 672229; 20202; 6982; [];1; 1; 1; 1; 0; 44616832.000000; 44616832.000000; 0.000000; 44616832.000000; 44616832.000000; 44616832.000000; 100.000000; 100.000000; 
669418; 672229; 5735; 18; [];2; 2; 2; 2; 0; 170987264.000000; 170987264.000000; 0.000000; 170987264.000000; 170987264.000000; 170987264.000000; 100.000000; 100.000000; 
669418; 672215; 20202; 
669418; 672215; 5735; 18; [];2; 2; 2; 2; 0; 253874944.000000; 253874944.000000; 0.000000; 253874944.000000; 253874944.000000; 253874944.000000; 100.000000; 100.000000; 
669418; 672198; 20202; 
669418; 672198; 5735; 18; [];2; 2; 2; 2; 0; 272208640.000000; 272208640.000000; 0.000000; 272208640.000000; 272208640.000000; 272208640.000000; 100.000000; 100.000000; 
669418; 672190; 20202; 
669418; 672190; 5735; 18; [];2; 2; 2; 2; 0; 275109120.000000; 275109120.000000; 0.000000; 275109120.000000; 275109120.000000; 275109120.000000; 100.000000; 100.000000; 
669418; 672182; 20202; 
669418; 672182; 5735; 18; [];2; 2; 2; 2; 0; 160364032.000000; 160364032.000000; 0.000000; 160364032.000000; 160364032.000000; 160364032.000000; 100.000000; 100.000000; 
669418; 672168; 20202; 
669418; 672168; 5735; 18; [];2; 2; 2; 2; 0; 281134848.000000; 281134848.000000; 0.000000; 281134848.000000; 281134848.000000; 281134848.000000; 100.000000; 100.000000; 
669418; 672157; 20202; 
669418; 672157; 5735; 18; [];2; 2; 2; 2; 0; 259550848.000000; 259550848.000000; 0.000000; 259550848.000000; 259550848.000000; 259550848.000000; 100.000000; 100.000000; 
669418; 672146; 20202; 8670106; []; 7; 14; 8; 16; -8; 116354.253677; 268144.369355; -130.455150; 116354.253677; 116354.253677; 268144.369355; 100.000000; 43.392391; 
669418; 672146; 5735; 18; [];2; 2; 2; 2; 0; 283026944.000000; 283026944.000000; 0.000000; 283026944.000000; 283026944.000000; 283026944.000000; 100.000000; 100.000000; 
669418; 672132; 20202; 
669418; 672132; 5735; 18; [];2; 2; 2; 2; 0; 267929216.000000; 267929216.000000; 0.000000; 267929216.000000; 267929216.000000; 267929216.000000; 100.000000; 100.000000; 
669418; 672124; 20202; 6982; [];1; 1; 1; 1; 0; 2648.000000; 2648.000000; 0.000000; 2648.000000; 2648.000000; 2648.000000; 100.000000; 100.000000; 
669418; 672124; 5735; 18; [];2; 2; 2; 2; 0; 262126336.000000; 262126336.000000; 0.000000; 262126336.000000; 262126336.000000; 262126336.000000; 100.000000; 100.000000; 
669418; 672110; 20202; 
669418; 672110; 5735; 18; [];2; 2; 2; 2; 0; 275267072.000000; 275267072.000000; 0.000000; 275267072.000000; 275267072.000000; 275267072.000000; 100.000000; 100.000000; 
669418; 672102; 20202; 
669418; 672102; 5735; 18; [];2; 2; 2; 2; 0; 269986176.000000; 269986176.000000; 0.000000; 269986176.000000; 269986176.000000; 269986176.000000; 100.000000; 100.000000; 
669418; 672088; 20202; 
669418; 672088; 5735; 18; [];2; 2; 2; 2; 0; 252907776.000000; 252907776.000000; 0.000000; 252907776.000000; 252907776.000000; 252907776.000000; 100.000000; 100.000000; 
669418; 672080; 20202; 
669418; 672080; 5735; 18; [];2; 2; 2; 2; 0; 200262144.000000; 200262144.000000; 0.000000; 200262144.000000; 200262144.000000; 200262144.000000; 100.000000; 100.000000; 
669418; 672069; 20202; 
669418; 672069; 5735; 18; [];2; 2; 2; 2; 0; 185173888.000000; 185173888.000000; 0.000000; 185173888.000000; 185173888.000000; 185173888.000000; 100.000000; 100.000000; 
669418; 672055; 20202; 
669418; 672055; 5735; 18; [];2; 2; 2; 2; 0; 177133160.511269; 177235964.256859; -0.058038; 177133160.511269; 177133160.511269; 177235964.256859; 100.000000; 99.941996; 
669418; 672047; 20202; 
669418; 672047; 5735; 18; [];2; 2; 2; 2; 0; 163115776.000000; 163115776.000000; 0.000000; 163115776.000000; 163115776.000000; 163115776.000000; 100.000000; 100.000000; 
669418; 672033; 20202; 
669418; 672033; 5735; 18; [];2; 2; 2; 2; 0; 270083200.000000; 270083200.000000; 0.000000; 270083200.000000; 270083200.000000; 270083200.000000; 100.000000; 100.000000; 
669418; 672025; 20202; 
669418; 672025; 5735; 18; [];2; 2; 2; 2; 0; 291199360.000000; 291199360.000000; 0.000000; 291199360.000000; 291199360.000000; 291199360.000000; 100.000000; 100.000000; 
669418; 672017; 20202; 
669418; 672017; 5735; 18; [];2; 2; 2; 2; 0; 296464640.000000; 296464640.000000; 0.000000; 296464640.000000; 296464640.000000; 296464640.000000; 100.000000; 100.000000; 
669418; 672000; 20202; 8723312; []; 16; 16; 20; 20; 0; 2440436.835016; 2440436.835016; 0.000000; 2440436.835016; 2440436.835016; 2440436.835016; 100.000000; 100.000000; 
669418; 672000; 5735; 18; [];2; 2; 2; 2; 0; 279596928.000000; 279596928.000000; 0.000000; 279596928.000000; 279596928.000000; 279596928.000000; 100.000000; 100.000000; 
669418; 671992; 20202; 
669418; 671992; 5735; 18; [];2; 2; 2; 2; 0; 287743872.000000; 287743872.000000; 0.000000; 287743872.000000; 287743872.000000; 287743872.000000; 100.000000; 100.000000; 
669418; 671984; 20202; 8728811; []; 7; 7; 9; 9; 0; 269183.615196; 269183.615196; 0.000000; 269183.615196; 269183.615196; 269183.615196; 100.000000; 100.000000; 
669418; 671984; 5735; 18; [];2; 2; 2; 2; 0; 277629696.000000; 277629696.000000; 0.000000; 277629696.000000; 277629696.000000; 277629696.000000; 100.000000; 100.000000; 
669418; 671967; 20202; 
669418; 671967; 5735; 18; [];2; 2; 2; 2; 0; 278175104.000000; 278175104.000000; 0.000000; 278175104.000000; 278175104.000000; 278175104.000000; 100.000000; 100.000000; 
669418; 671959; 20202; 8740696; []; 130; 125; 163; 161; 2; 106131740.332103; 75395239.127775; 28.960706; 106131740.332103; 106131740.332103; 75395239.127775; 100.000000; 140.767165; 
669418; 671959; 5735; 
669418; 671951; 20202; 7801327; []; 700; 194; 1066; 337; 729; 120685964.058198; 84842681.504405; 29.699628; 120685964.058198; 120685964.058198; 84842681.504405; 100.000000; 142.246758; 
669418; 671951; 5735; 18; [];1; 3; 1; 3; -2; 20435072.000000; 337750528.000000; -1552.798326; 20435072.000000; 20435072.000000; 337750528.000000; 100.000000; 6.050345; 
669418; 671940; 20202; 
669418; 671940; 5735; 18; [];2; 2; 2; 2; 0; 270918912.000000; 270918912.000000; 0.000000; 270918912.000000; 270918912.000000; 270918912.000000; 100.000000; 100.000000; 
669418; 671925; 20202; 8749597; []; 70; 167; 92; 239; -147; 107016375.558288; 65571327.950478; 38.727762; 107016375.558288; 107016375.558288; 65571327.950478; 100.000000; 163.206052; 
669418; 671925; 5735; 18; [];2; 4; 2; 4; -2; 298340608.000000; 313169920.000000; -4.970598; 298340608.000000; 298340608.000000; 313169920.000000; 100.000000; 95.264771; 
669418; 671911; 20202; 8764319; []; 71; 151; 95; 202; -107; 78911814.434011; 70717061.470684; 10.384697; 78911814.434011; 78911814.434011; 70717061.470684; 100.000000; 111.588085; 
669418; 671911; 5735; 18; [];4; 4; 4; 4; 0; 305306112.000000; 305306112.000000; 0.000000; 305306112.000000; 305306112.000000; 305306112.000000; 100.000000; 100.000000; 
