Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
21907448; 21909504; 20202; 21949747; []; 2; 16; 3; 19; -16; 198566.867940; 266808.000000; -34.366827; 198566.867940; 198566.867940; 266808.000000; 100.000000; 74.423131; 
21907448; 21909504; 5735; 21996807; []; 1; 1; 1; 1; 0; 50955480.000000; 50955480.000000; 0.000000; 50955480.000000; 50955480.000000; 50955480.000000; 100.000000; 100.000000; 
21907448; 21909461; 20202; 21950630; []; 1; 4; 1; 4; -3; 65707.077777; 109428.986570; -66.540638; 65707.077777; 65707.077777; 109428.986570; 100.000000; 60.045405; 
21907448; 21909461; 5735; 21996840; []; 1; 1; 1; 1; 0; 45592640.000000; 45592640.000000; 0.000000; 45592640.000000; 45592640.000000; 45592640.000000; 100.000000; 100.000000; 
21907448; 21909418; 20202; 21951183; []; 1; 3; 1; 3; -2; 33870.408455; 17675.019924; 47.815746; 33870.408455; 33870.408455; 17675.019924; 100.000000; 191.628686; 
21907448; 21909418; 5735; 21996873; []; 1; 1; 1; 1; 0; 41167360.000000; 41167360.000000; 0.000000; 41167360.000000; 41167360.000000; 41167360.000000; 100.000000; 100.000000; 
21907448; 21909375; 20202; 21952893; []; 2; 2; 2; 2; 0; 9717.000000; 568.000000; 94.154574; 9717.000000; 9717.000000; 568.000000; 100.000000; 1710.739437; 
21907448; 21909375; 5735; 21996906; []; 1; 1; 1; 1; 0; 36423221.427273; 36495112.500000; -0.197377; 36423221.427273; 36423221.427273; 36495112.500000; 100.000000; 99.803012; 
21907448; 21909332; 20202; 21955416; []; 4; 42; 4; 46; -42; 2784887.318111; 2962818.089410; -6.389155; 2784887.318111; 2784887.318111; 2962818.089410; 100.000000; 93.994543; 
21907448; 21909332; 5735; 21996939; []; 2; 2; 2; 2; 0; 173057500.000000; 173057500.000000; 0.000000; 173057500.000000; 173057500.000000; 173057500.000000; 100.000000; 100.000000; 
21907448; 21909289; 20202; 21958414; []; 17; 49; 17; 51; -34; 2399160.008913; 2674365.055657; -11.470892; 2399160.008913; 2399160.008913; 2674365.055657; 100.000000; 89.709518; 
21907448; 21909289; 5735; 21996985; []; 2; 2; 2; 2; 0; 158421600.000000; 158421600.000000; 0.000000; 158421600.000000; 158421600.000000; 158421600.000000; 100.000000; 100.000000; 
21907448; 21909246; 20202; 21960793; []; 9; 14; 11; 16; -5; 1284405.047764; 1673106.410655; -30.263145; 1284405.047764; 1284405.047764; 1673106.410655; 100.000000; 76.767684; 
21907448; 21909246; 5735; 21997031; []; 2; 2; 2; 2; 0; 144907024.500000; 144907024.500000; 0.000000; 144907024.500000; 144907024.500000; 144907024.500000; 100.000000; 100.000000; 
21907448; 21909203; 20202; 21962930; []; 5; 22; 5; 23; -18; 105531.293107; 617541.404604; -485.173730; 105531.293107; 105531.293107; 617541.404604; 100.000000; 17.088942; 
21907448; 21909203; 5735; 21997079; []; 2; 2; 2; 2; 0; 126835156.000000; 126835156.000000; 0.000000; 126835156.000000; 126835156.000000; 126835156.000000; 100.000000; 100.000000; 
21907448; 21909160; 20202; 21964444; []; 16; 49; 16; 50; -34; 791000.651845; 1210219.740472; -52.998577; 791000.651845; 791000.651845; 1210219.740472; 100.000000; 65.360085; 
21907448; 21909160; 5735; 21997129; []; 2; 2; 2; 2; 0; 209852977.500000; 209852977.500000; 0.000000; 209852977.500000; 209852977.500000; 209852977.500000; 100.000000; 100.000000; 
21907448; 21909117; 20202; 21967573; []; 23; 46; 25; 49; -24; 1854953.709532; 1926417.436956; -3.852588; 1854953.709532; 1854953.709532; 1926417.436956; 100.000000; 96.290330; 
21907448; 21909117; 5735; 21997175; []; 2; 2; 2; 2; 0; 203286897.777778; 203546624.000000; -0.127763; 203286897.777778; 203286897.777778; 203546624.000000; 100.000000; 99.872400; 
21907448; 21909074; 20202; 21970525; []; 7; 39; 7; 40; -33; 1945835.260972; 2011885.286927; -3.394431; 1945835.260972; 1945835.260972; 2011885.286927; 100.000000; 96.717008; 
21907448; 21909074; 5735; 21997221; []; 2; 2; 2; 2; 0; 188154037.500000; 188154037.500000; 0.000000; 188154037.500000; 188154037.500000; 188154037.500000; 100.000000; 100.000000; 
21907448; 21909030; 20202; 21972733; []; 6; 43; 6; 45; -39; 790651.082352; 927200.282197; -17.270475; 790651.082352; 790651.082352; 927200.282197; 100.000000; 85.272955; 
21907448; 21909030; 5735; 21997268; []; 2; 2; 2; 2; 0; 171545464.500000; 172111716.000000; -0.330088; 171545464.500000; 171545464.500000; 172111716.000000; 100.000000; 99.670998; 
21907448; 21908987; 20202; 21973933; []; 20; 58; 21; 60; -39; 4561299.799785; 4112316.056542; 9.843329; 4561299.799785; 4561299.799785; 4112316.056542; 100.000000; 110.918026; 
21907448; 21908987; 5735; 21997317; []; 2; 2; 2; 2; 0; 198127620.000000; 198127620.000000; 0.000000; 198127620.000000; 198127620.000000; 198127620.000000; 100.000000; 100.000000; 
21907448; 21908944; 20202; 21978166; []; 17; 31; 17; 33; -16; 2949766.937113; 2763465.760944; 6.315793; 2949766.937113; 2949766.937113; 2763465.760944; 100.000000; 106.741577; 
21907448; 21908944; 5735; 21997366; []; 3; 2; 3; 2; 1; 179513491.166667; 180413163.000000; -0.501172; 179513491.166667; 179513491.166667; 180413163.000000; 100.000000; 99.501327; 
21907448; 21908901; 20202; 21979144; []; 21; 42; 21; 42; -21; 2082676.991100; 1887151.821994; 9.388166; 2082676.991100; 2082676.991100; 1887151.821994; 100.000000; 110.360861; 
21907448; 21908901; 5735; 21997412; []; 2; 2; 2; 2; 0; 162180992.763507; 162572872.000000; -0.241631; 162180992.763507; 162180992.763507; 162572872.000000; 100.000000; 99.758952; 
21907448; 21908858; 20202; 21979806; []; 10; 29; 14; 31; -17; 1386154.851757; 1416012.045836; -2.153958; 1386154.851757; 1386154.851757; 1416012.045836; 100.000000; 97.891459; 
21907448; 21908858; 5735; 21997458; []; 2; 2; 2; 2; 0; 141013116.000000; 141191424.000000; -0.126448; 141013116.000000; 141013116.000000; 141191424.000000; 100.000000; 99.873712; 
