Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
181136007; 181156009; 20202; 156037249; [];39; 49; 40; 50; -10; 24897575.637102; 21618601.606899; 13.169853; 24897575.637102; 24897575.637102; 21618601.606899; 100.000000; 115.167373; 
181136007; 181156009; 5735; 181156215; [];1; 1; 1; 1; 0; 216436755.500000; 216436755.500000; 0.000000; 216436755.500000; 216436755.500000; 216436755.500000; 100.000000; 100.000000; 
181136007; 181155829; 20202; 156037249; [];38; 40; 38; 40; -2; 20245602.991331; 18802255.409091; 7.129190; 20245602.991331; 20245602.991331; 18802255.409091; 100.000000; 107.676460; 
181136007; 181155829; 5735; 181156215; [];1; 1; 1; 1; 0; 201553525.500000; 201553525.500000; 0.000000; 201553525.500000; 201553525.500000; 201553525.500000; 100.000000; 100.000000; 
181136007; 181155642; 20202; 156037249; [];41; 43; 41; 44; -3; 32800657.641511; 24968270.844457; 23.878749; 32800657.641511; 32800657.641511; 24968270.844457; 100.000000; 131.369360; 
181136007; 181155642; 5735; 181156215; [];1; 1; 1; 1; 0; 217066166.000000; 217066166.000000; 0.000000; 217066166.000000; 217066166.000000; 217066166.000000; 100.000000; 100.000000; 
181136007; 181155462; 20202; 156037249; [];38; 43; 38; 46; -8; 17374453.886455; 17071221.121347; 1.745279; 17374453.886455; 17374453.886455; 17071221.121347; 100.000000; 101.776280; 
181136007; 181155462; 5735; 181156215; [];1; 1; 1; 1; 0; 180318528.000000; 180318528.000000; 0.000000; 180318528.000000; 180318528.000000; 180318528.000000; 100.000000; 100.000000; 
181136007; 181155284; 20202; 156037249; [];35; 35; 38; 37; 1; 27298255.762531; 26891468.666667; 1.490158; 27298255.762531; 27298255.762531; 26891468.666667; 100.000000; 101.512699; 
181136007; 181155284; 5735; 181156215; [];1; 1; 1; 1; 0; 211496751.887083; 212253728.000000; -0.357914; 211496751.887083; 211496751.887083; 212253728.000000; 100.000000; 99.643363; 
181136007; 181155102; 20202; 156037249; [];34; 37; 34; 41; -7; 20048570.708393; 19253204.041805; 3.967199; 20048570.708393; 20048570.708393; 19253204.041805; 100.000000; 104.131087; 
181136007; 181155102; 5735; 181156215; [];1; 1; 1; 1; 0; 187925132.500000; 187925132.500000; 0.000000; 187925132.500000; 187925132.500000; 187925132.500000; 100.000000; 100.000000; 
181136007; 181154919; 20202; 156037249; [];39; 40; 39; 42; -3; 19819080.999120; 12832211.274943; 35.253248; 19819080.999120; 19819080.999120; 12832211.274943; 100.000000; 154.447901; 
181136007; 181154919; 5735; 181156215; [];1; 1; 1; 1; 0; 197178064.000000; 197178064.000000; 0.000000; 197178064.000000; 197178064.000000; 197178064.000000; 100.000000; 100.000000; 
181136007; 181154736; 20202; 156037249; [];40; 42; 43; 58; -15; 21151826.710586; 13277022.457660; 37.229902; 21151826.710586; 21151826.710586; 13277022.457660; 100.000000; 159.311523; 
