Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
151746100; 151755580; 20202; 157021170; []; 46; 195; 48; 199; -151; 1706631.214833; 14313844.587781; -738.719254; 1160982.107295; 545649.107537; 13152862.480486; 68.027708; 8.110903; 
151746100; 151755580; 5735; 153337625; []; 1; 1; 1; 1; 0; 239771013.991489; 239999360.000000; -0.095235; 234439780.359233; 5331233.632256; 5559579.640767; 97.776531; 97.683502; 
151746100; 151755420; 20202; 157048436; [];48; 148; 48; 158; -110; 1779610.197611; 12180965.169947; -584.473779; 1023218.520826; 756391.676785; 11157746.649121; 57.496778; 8.400143; 
151746100; 151755420; 5735; 153337661; []; 1; 1; 1; 1; 0; 242255925.000000; 242255925.000000; 0.000000; 242255925.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
151746100; 151755178; 20202; 
151746100; 151755178; 5735; 153337736; []; 1; 1; 1; 1; 0; 234028715.999840; 217874384.000000; 6.902714; 198551825.755510; 35476890.244330; 19322558.244490; 84.840796; 91.131331; 
151746100; 151754989; 20202; 157082273; [];32; 165; 33; 169; -136; 2399659.258935; 10474415.328058; -336.495944; 1605401.927288; 794257.331647; 8869013.400770; 66.901245; 15.326888; 
151746100; 151754989; 5735; 6980; [];1; 1; 1; 1; 0; 249928512.000000; 250116096.000000; -0.075055; 249928512.000000; 0.000000; 187584.000000; 100.000000; 99.925001; 
151746100; 151754784; 20202; 157110552; [];154; 253; 160; 258; -98; 8654267.183732; 9459590.838897; -9.305510; 5778457.934300; 2875809.249432; 3681132.904597; 66.770043; 61.085707; 
151746100; 151754784; 5735; 153337840; []; 1; 1; 1; 1; 0; 282102897.264540; 265595624.000000; 5.851508; 253254214.331662; 28848682.932878; 12341409.668338; 89.773702; 95.353308; 
151746100; 151754738; 20202; 157155180; []; 157; 253; 162; 257; -95; 9269134.914775; 9165004.349884; 1.123412; 4950753.856348; 4318381.058426; 4214250.493535; 53.411175; 54.018020; 
151746100; 151754738; 5735; 153337915; []; 1; 1; 1; 1; 0; 271475073.044992; 264386592.500000; 2.611098; 252505542.155430; 18969530.889563; 11881050.344570; 93.012423; 95.506183; 
151746100; 151754375; 20202; 157190353; [];135; 197; 138; 200; -62; 9580347.948406; 7771488.317200; 18.880939; 4472252.043945; 5108095.904462; 3299236.273255; 46.681520; 57.546918; 
151746100; 151754375; 5735; 153337953; []; 1; 1; 1; 1; 0; 290815833.080932; 274645714.340426; 5.560261; 262916010.547337; 27899822.533595; 11729703.793088; 90.406361; 95.729151; 
151746100; 151754188; 20202; 6980; [];138; 77; 142; 77; 65; 9542118.646547; 2783535.571981; 70.828957; 2400072.238647; 7142046.407900; 383463.333333; 25.152404; 86.223875; 
151746100; 151754188; 5735; 153337991; []; 1; 1; 1; 1; 0; 282592881.648670; 276563752.000000; 2.133504; 263325304.023808; 19267577.624862; 13238447.976192; 93.181860; 95.213238; 
151746100; 151753911; 20202; 6980; [];8; 7; 8; 7; 1; 416158.164672; 206088.000000; 50.478444; 143028.000000; 273130.164672; 63060.000000; 34.368664; 69.401421; 
151746100; 151753911; 5735; 153338023; []; 1; 1; 1; 1; 0; 236260304.835320; 216951936.000000; 8.172498; 200175219.838009; 36085084.997312; 16776716.161991; 84.726556; 92.267082; 
151746100; 151753710; 20202; 6980; [];16; 15; 16; 15; 1; 579301.840111; 396444.000000; 31.565210; 310488.000000; 268813.840111; 85956.000000; 53.596930; 78.318249; 
151746100; 151753710; 5735; 153338061; []; 1; 1; 1; 1; 0; 244497280.000000; 244497280.000000; 0.000000; 244497280.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
151746100; 151753488; 20202; 6980; [];23; 20; 23; 20; 3; 741586.918444; 685242.000000; 7.597885; 524418.000000; 217168.918444; 160824.000000; 70.715649; 76.530335; 
151746100; 151753488; 5735; 153338136; []; 1; 2; 1; 2; -1; 237874304.000000; 237874304.000000; 0.000000; 237874304.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
151746100; 151753305; 20202; 157368947; []; 22; 153; 22; 155; -133; 570579.857395; 7345185.401116; -1187.319436; 215666.733333; 354913.124062; 7129518.667783; 37.797818; 2.936165; 
151746100; 151753305; 5735; 153338189; []; 1; 1; 1; 1; 0; 237705848.995209; 224819328.000000; 5.421205; 212789755.344996; 24916093.650214; 12029572.655004; 89.518098; 94.649227; 
151746100; 151753075; 20202; 6980; [];48; 34; 51; 36; 15; 2067706.148326; 879957.361905; 57.442823; 864465.695238; 1203240.453088; 15491.666667; 41.807957; 98.239498; 
151746100; 151753075; 5735; 6980; [];1; 1; 1; 1; 0; 178808640.000000; 178808640.000000; 0.000000; 178808640.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
151746100; 151752911; 20202; 6980; [];38; 29; 38; 29; 9; 1588408.244235; 617682.000000; 61.113146; 523962.000000; 1064446.244235; 93720.000000; 32.986608; 84.827144; 
151746100; 151752911; 5735; 153338245; []; 1; 1; 1; 1; 0; 176237407.160719; 165186154.000000; 6.270663; 163264514.140176; 12972893.020543; 1921639.859824; 92.638967; 98.836682; 
151746100; 151752641; 20202; 157452867; []; 154; 191; 161; 194; -33; 21466503.262567; 21165669.595728; 1.401410; 16848286.900251; 4618216.362316; 4317382.695476; 78.486406; 79.601956; 
151746100; 151752641; 5735; 153338296; []; 1; 2; 1; 2; -1; 229510912.000000; 229510912.000000; 0.000000; 221400940.447100; 8109971.552900; 8109971.552900; 96.466411; 96.466411; 
151746100; 151752455; 20202; 6980; [];153; 89; 164; 89; 75; 15583634.871435; 2225784.149637; 85.717170; 1819176.100498; 13764458.770937; 406608.049139; 11.673631; 81.731919; 
