Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
20207620; 20237630; 20202; 20627628; []; 30; 48; 31; 51; -20; 482151.709913; 346998.339333; 28.031296; 312486.339333; 169665.370580; 34512.000000; 64.810791; 90.054131; 
20207620; 20237630; 5735; 20692451; []; 2; 2; 2; 2; 0; 171712800.000000; 171712800.000000; 0.000000; 171712800.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237557; 20202; 20635455; []; 34; 34; 36; 37; -1; 273291.514748; 214969.164748; 21.340710; 214969.164748; 58322.350000; 0.000000; 78.659290; 100.000000; 
20207620; 20237557; 5735; 20692497; []; 2; 2; 2; 2; 0; 174784742.000000; 174784742.000000; 0.000000; 174784742.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237499; 20202; 20641038; []; 14; 32; 14; 34; -20; 273437.136179; 258158.685938; 5.587555; 197446.374945; 75990.761235; 60712.310993; 72.209056; 76.482561; 
20207620; 20237499; 5735; 20692543; []; 2; 3; 2; 3; -1; 160155116.000000; 160155116.000000; 0.000000; 160155116.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237456; 20202; 20644644; []; 23; 46; 26; 51; -25; 293564.457630; 258517.986795; 11.938254; 190371.417797; 103193.039833; 68146.568999; 64.848251; 73.639525; 
20207620; 20237456; 5735; 20692602; []; 2; 3; 2; 4; -2; 142316568.000000; 142316568.000000; 0.000000; 142316568.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237413; 20202; 20648581; []; 25; 28; 26; 31; -5; 349089.540172; 209685.460818; 39.933617; 206173.460818; 142916.079355; 3512.000000; 59.060338; 98.325110; 
20207620; 20237413; 5735; 20692661; []; 2; 3; 2; 3; -1; 129218804.000000; 129218804.000000; 0.000000; 129218804.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237371; 20202; 20464982; []; 24; 99; 28; 109; -81; 88977.119338; 348936.233642; -292.164004; 67486.226710; 21490.892628; 281450.006932; 75.846720; 19.340561; 
20207620; 20237371; 5735; 20692723; []; 2; 2; 2; 2; 0; 220982112.000000; 220982112.000000; 0.000000; 220982112.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237178; 20202; 20651783; []; 3; 9; 3; 9; -6; 84480.957353; 55608.000000; 34.176882; 36656.000000; 47824.957353; 18952.000000; 43.389660; 65.918573; 
20207620; 20237178; 5735; 20692769; []; 2; 1; 2; 1; 1; 220648071.757576; 146800512.000000; 33.468482; 146800512.000000; 73847559.757576; 0.000000; 66.531518; 100.000000; 
20207620; 20237132; 20202; 20456306; []; 12; 52; 14; 58; -44; 164064.023806; 211496.000000; -28.910650; 107936.000000; 56128.023806; 103560.000000; 65.788951; 51.034535; 
20207620; 20237132; 5735; 20692802; []; 2; 2; 2; 2; 0; 215399232.000000; 215399232.000000; 0.000000; 215399232.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237074; 20202; 20470057; []; 13; 44; 17; 55; -38; 123651.230952; 201834.552605; -63.228907; 84432.000000; 39219.230952; 117402.552605; 68.282377; 41.832282; 
20207620; 20237074; 5735; 20692853; []; 2; 2; 2; 2; 0; 208041120.000000; 208041120.000000; 0.000000; 208041120.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20237011; 20202; 20473768; []; 57; 86; 61; 92; -31; 1142095.619417; 1301008.410704; -13.914141; 1138941.583757; 3154.035660; 162066.826947; 99.723838; 87.542984; 
20207620; 20237011; 5735; 20692904; []; 2; 2; 2; 2; 0; 180433264.000000; 180433264.000000; 0.000000; 180433264.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236950; 20202; 20478187; []; 12; 79; 14; 91; -77; 180650.069285; 398042.317608; -120.338868; 180650.069285; 0.000000; 217392.248323; 100.000000; 45.384639; 
20207620; 20236950; 5735; 20692950; []; 2; 4; 2; 4; -2; 151239456.000000; 180966816.000000; -19.655823; 151239456.000000; 0.000000; 29727360.000000; 100.000000; 83.573033; 
20207620; 20236893; 20202; 20479567; []; 12; 23; 12; 23; -11; 156482.770288; 112760.728179; 27.940483; 100526.491480; 55956.278808; 12234.236699; 64.241252; 89.150268; 
20207620; 20236893; 5735; 20693022; []; 2; 3; 2; 3; -1; 159259104.000000; 184896576.000000; -16.097963; 155884896.000000; 3374208.000000; 29011680.000000; 97.881309; 84.309239; 
20207620; 20236732; 20202; 20482488; []; 25; 45; 28; 53; -25; 351820.860681; 248896.008509; 29.254903; 214058.088323; 137762.772358; 34837.920186; 60.842921; 86.003022; 
20207620; 20236732; 5735; 20693085; []; 2; 3; 2; 3; -1; 159982048.000000; 190555200.000000; -19.110364; 157664448.000000; 2317600.000000; 32890752.000000; 98.551337; 82.739515; 
20207620; 20236685; 20202; 20485586; []; 21; 25; 25; 29; -4; 1399555.042999; 1451206.454154; -3.690559; 1370232.079230; 29322.963768; 80974.374924; 97.904837; 94.420203; 
20207620; 20236685; 5735; 20693145; []; 1; 3; 1; 3; -2; 162873986.000000; 205558430.000000; -26.207036; 162873986.000000; 0.000000; 42684444.000000; 100.000000; 79.234885; 
20207620; 20236642; 20202; 20493380; []; 2; 8; 2; 8; -6; 25185.207450; 44529.797071; -76.809332; 5312.000000; 19873.207450; 39217.797071; 21.091746; 11.929091; 
20207620; 20236642; 5735; 323246; [];1; 1; 1; 1; 0; 151177216.000000; 151177216.000000; 0.000000; 151177216.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236558; 20202; 20504551; [];22; 55; 22; 58; -36; 337033.483601; 159388.622924; 52.708372; 89724.151703; 247309.331898; 69664.471222; 26.621732; 56.292695; 
20207620; 20236558; 5735; 20693250; []; 4; 3; 4; 3; 1; 313593568.000000; 234781920.000000; 25.131781; 234781920.000000; 78811648.000000; 0.000000; 74.868219; 100.000000; 
20207620; 20236515; 20202; 20513190; []; 31; 68; 32; 70; -38; 429950.697610; 221101.175709; 48.575226; 130437.229355; 299513.468255; 90663.946354; 30.337718; 58.994363; 
20207620; 20236515; 5735; 20693309; []; 4; 4; 4; 4; 0; 317757132.000000; 317757132.000000; 0.000000; 317757132.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236472; 20202; 20520395; []; 32; 64; 38; 70; -32; 374010.152584; 250435.118747; 33.040556; 148295.940197; 225714.212387; 102139.178550; 39.650245; 59.215313; 
20207620; 20236472; 5735; 20693383; []; 5; 5; 5; 5; 0; 312877440.000000; 312877440.000000; 0.000000; 312877440.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236429; 20202; 20528109; []; 45; 87; 52; 99; -47; 367205.876078; 387940.946587; -5.646715; 315917.240357; 51288.635720; 72023.706230; 86.032730; 81.434363; 
20207620; 20236429; 5735; 20693469; []; 5; 4; 5; 4; 1; 281532768.000000; 278296416.000000; 1.149547; 278296416.000000; 3236352.000000; 0.000000; 98.850453; 100.000000; 
20207620; 20236386; 20202; 20536559; []; 62; 133; 68; 148; -80; 487904.505213; 695584.123694; -42.565628; 458373.437725; 29531.067488; 237210.685969; 93.947367; 65.897628; 
20207620; 20236386; 5735; 20693543; []; 5; 4; 5; 4; 1; 250360474.000000; 248703642.000000; 0.661779; 248703642.000000; 1656832.000000; 0.000000; 99.338221; 100.000000; 
20207620; 20236343; 20202; 20548814; []; 21; 80; 21; 85; -64; 138633.834676; 320367.013078; -131.088618; 24848.999384; 113784.835292; 295518.013694; 17.924195; 7.756416; 
20207620; 20236343; 5735; 20693615; []; 2; 3; 2; 3; -1; 240792192.000000; 240792192.000000; 0.000000; 240792192.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236300; 20202; 20559573; []; 32; 101; 38; 118; -80; 415437.964332; 569055.138468; -36.977163; 281627.475989; 133810.488343; 287427.662479; 67.790501; 49.490367; 
20207620; 20236300; 5735; 20693676; []; 2; 3; 2; 3; -1; 229749600.000000; 229749600.000000; 0.000000; 229749600.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236249; 20202; 20564647; []; 24; 80; 25; 92; -67; 238227.908125; 272466.651333; -14.372264; 103614.452374; 134613.455752; 168852.198960; 43.493835; 38.028306; 
20207620; 20236249; 5735; 20693737; []; 2; 2; 2; 2; 0; 215054400.000000; 215054400.000000; 0.000000; 215054400.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236141; 20202; 20569591; []; 18; 84; 20; 95; -75; 161029.212219; 371502.722877; -130.705173; 66105.819043; 94923.393177; 305396.903834; 41.052066; 17.794168; 
20207620; 20236141; 5735; 20693783; []; 2; 3; 2; 3; -1; 217139400.000000; 217139400.000000; 0.000000; 217139400.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20236071; 20202; 20573877; []; 15; 86; 16; 92; -76; 225929.866281; 520027.235234; -130.171975; 200371.404324; 25558.461957; 319655.830910; 88.687435; 38.530944; 
20207620; 20236071; 5735; 20693842; []; 2; 3; 2; 3; -1; 190429056.000000; 190429056.000000; 0.000000; 190429056.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20235999; 20202; 20575525; []; 24; 189; 29; 213; -184; 256321.648800; 664888.000000; -159.395959; 186672.068462; 69649.580337; 478215.931538; 72.827274; 28.075716; 
20207620; 20235999; 5735; 20693901; []; 3; 3; 3; 3; 0; 324679680.000000; 324679680.000000; 0.000000; 324679680.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20235937; 20202; 20578238; []; 29; 176; 31; 190; -159; 404035.255011; 1045114.903504; -158.669235; 331589.611241; 72445.643770; 713525.292263; 82.069475; 31.727575; 
20207620; 20235937; 5735; 20693961; []; 3; 2; 3; 2; 1; 332424736.000000; 157697568.000000; 52.561422; 157697568.000000; 174727168.000000; 0.000000; 47.438578; 100.000000; 
20207620; 20235833; 20202; 20590359; []; 25; 177; 28; 194; -166; 466556.158654; 901958.865918; -93.322679; 338837.429405; 127718.729249; 563121.436513; 72.625218; 37.566838; 
20207620; 20235833; 5735; 20694007; []; 3; 3; 3; 3; 0; 332303040.000000; 332303040.000000; 0.000000; 332303040.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20235767; 20202; 20600707; []; 41; 204; 43; 222; -179; 741539.357320; 1419227.302502; -91.389343; 741539.357320; 0.000000; 677687.945181; 100.000000; 52.249513; 
20207620; 20235767; 5735; 20694068; []; 3; 4; 3; 4; -1; 327888864.000000; 327888864.000000; 0.000000; 327888864.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
20207620; 20235696; 20202; 20664610; []; 22; 154; 22; 167; -145; 472395.002974; 1071473.955766; -126.817377; 445786.283486; 26608.719488; 625687.672281; 94.367273; 41.604957; 
20207620; 20235696; 5735; 20694142; []; 3; 4; 3; 4; -1; 325575648.000000; 325575648.000000; 0.000000; 325575648.000000; 0.000000; 0.000000; 100.000000; 100.000000; 
