Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
95267849; 95858429; 20202; 98391277; []; 16; 645; 21; 670; -649; 1911610075.647939; 1753683860.047601; 8.261424; 1911610075.647939; 1911610075.647939; 1753683860.047601; 100.000000; 109.005398; 
95267849; 95858429; 5735; 95861369; []; 6; 11; 6; 11; -5; 3371951312.513963; 2907150673.500000; 13.784322; 3371951312.513963; 3371951312.513963; 2907150673.500000; 100.000000; 115.988185; 
95267849; 95858361; 20202; 99704457; [];32; 699; 43; 720; -677; 1715220841.605445; 1501130942.017919; 12.481769; 1715220841.605445; 1715220841.605445; 1501130942.017919; 100.000000; 114.261907; 
95267849; 95858361; 5735; 95861532; []; 8; 18; 8; 18; -10; 4106766527.378961; 2222720950.000000; 45.876618; 4106766527.378961; 4106766527.378961; 2222720950.000000; 100.000000; 184.763028; 
95267849; 95858304; 20202; 103661829; []; 41; 835; 57; 858; -801; 1395651987.459539; 1495015564.801070; -7.119510; 1395651987.459539; 1395651987.459539; 1495015564.801070; 100.000000; 93.353676; 
95267849; 95858304; 5735; 95861786; []; 6; 16; 6; 18; -12; 3307054744.533329; 2949246945.000000; 10.819531; 3307054744.533329; 3307054744.533329; 2949246945.000000; 100.000000; 112.132175; 
95267849; 95858225; 20202; 100985405; []; 16; 489; 23; 517; -494; 10625629.229412; 10935008.510448; -2.911633; 10625629.229412; 10625629.229412; 10935008.510448; 100.000000; 97.170745; 
95267849; 95858225; 5735; 86524439; [];6; 6; 6; 6; 0; 805146624.000000; 805146624.000000; 0.000000; 805146624.000000; 805146624.000000; 805146624.000000; 100.000000; 100.000000; 
95267849; 95858157; 20202; 98371906; []; 9; 40; 9; 41; -32; 13127014.120976; 15087156.097548; -14.932124; 13127014.120976; 13127014.120976; 15087156.097548; 100.000000; 87.007876; 
95267849; 95858157; 5735; 95862125; []; 4; 4; 4; 4; 0; 658635912.000000; 658635912.000000; 0.000000; 658635912.000000; 658635912.000000; 658635912.000000; 100.000000; 100.000000; 
95267849; 95858089; 20202; 98351061; []; 15; 1599; 15; 1601; -1586; 8351792.000000; 21574646.010811; -158.323555; 8351792.000000; 8351792.000000; 21574646.010811; 100.000000; 38.711143; 
95267849; 95858089; 5735; 95862197; []; 6; 6; 6; 6; 0; 1997081424.000000; 1628720862.500000; 18.444945; 1997081424.000000; 1997081424.000000; 1628720862.500000; 100.000000; 122.616556; 
95267849; 95858021; 20202; 102778763; []; 4; 459; 8; 486; -478; 741509357.705623; 635510246.539058; 14.295047; 741509357.705623; 741509357.705623; 635510246.539058; 100.000000; 116.679371; 
95267849; 95858021; 5735; 95862295; []; 2; 3; 2; 3; -1; 1288500646.055665; 1081202850.000000; 16.088296; 1288500646.055665; 1288500646.055665; 1081202850.000000; 100.000000; 119.172887; 
95267849; 95857953; 20202; 103261039; []; 4; 120; 4; 122; -118; 22224370.008046; 28920928.883282; -30.131603; 22224370.008046; 22224370.008046; 28920928.883282; 100.000000; 76.845284; 
95267849; 95857953; 5735; 95862354; []; 4; 4; 4; 4; 0; 1304649211.500000; 1304649211.500000; 0.000000; 1304649211.500000; 1304649211.500000; 1304649211.500000; 100.000000; 100.000000; 
95267849; 95857885; 20202; 103369219; []; 23; 235; 26; 242; -216; 587788662.041844; 599875375.130747; -2.056303; 587788662.041844; 587788662.041844; 599875375.130747; 100.000000; 97.985129; 
95267849; 95857885; 5735; 95862426; []; 2; 5; 2; 5; -3; 2051818150.410028; 1668734375.000000; 18.670455; 2051818150.410028; 2051818150.410028; 1668734375.000000; 100.000000; 122.956546; 
95267849; 95857817; 20202; 103236678; []; 22; 286; 25; 293; -268; 875330445.319274; 893660195.998420; -2.094038; 875330445.319274; 875330445.319274; 893660195.998420; 100.000000; 97.948913; 
95267849; 95857817; 5735; 95862511; []; 3; 11; 3; 11; -8; 3103694609.324045; 1944523437.500000; 37.348107; 3103694609.324045; 3103694609.324045; 1944523437.500000; 100.000000; 159.612096; 
95267849; 95857749; 20202; 103475243; []; 23; 443; 28; 450; -422; 829360256.876413; 878012196.139867; -5.866201; 829360256.876413; 829360256.876413; 878012196.139867; 100.000000; 94.458854; 
95267849; 95857749; 5735; 95862674; []; 9; 14; 9; 15; -6; 2141470902.528169; 1335657288.000000; 37.628978; 2141470902.528169; 2141470902.528169; 1335657288.000000; 100.000000; 160.330866; 
95267849; 95857681; 20202; 103902468; [];18; 271; 21; 278; -257; 606001380.513057; 628747530.867775; -3.753482; 606001380.513057; 606001380.513057; 628747530.867775; 100.000000; 96.382308; 
95267849; 95857681; 5735; 95862876; []; 8; 12; 8; 13; -5; 1465183532.883175; 1268237918.500000; 13.441703; 1465183532.883175; 1465183532.883175; 1268237918.500000; 100.000000; 115.529075; 
95267849; 95857613; 20202; 104154849; []; 11; 308; 20; 325; -305; 1264917429.590949; 1287721596.568577; -1.802819; 1264917429.590949; 1264917429.590949; 1287721596.568577; 100.000000; 98.229107; 
95267849; 95857613; 5735; 95863052; []; 9; 17; 9; 17; -8; 2727472210.538709; 1760544866.000000; 35.451410; 2727472210.538709; 2727472210.538709; 1760544866.000000; 100.000000; 154.922051; 
95267849; 95857545; 20202; 102342080; []; 20; 184; 22; 188; -166; 412745220.827203; 422527189.559589; -2.369977; 412745220.827203; 412745220.827203; 422527189.559589; 100.000000; 97.684890; 
95267849; 95857545; 5735; 95863293; []; 6; 16; 6; 16; -10; 1912632833.919806; 1318888928.500000; 31.043277; 1912632833.919806; 1912632833.919806; 1318888928.500000; 100.000000; 145.018492; 
95267849; 95857477; 20202; 102536198; []; 19; 181; 23; 186; -163; 392739703.116407; 404916328.133433; -3.100431; 392739703.116407; 392739703.116407; 404916328.133433; 100.000000; 96.992805; 
