Project ID;Image ID;Term ID;Job user ID;Job parameters;Number of Review Annotations;Number of Job Annotations;Number of Review Polygons;Number of Job Polygons;Number of review polygons missed by job;Review Area;Job Area;Area Percentage of review missed by job;TP;FN;FP;Recall;Precision;
7873585; 7889452; 20202; 8463060; []; 93; 98; 95; 101; -6; 95833003.471966; 92191053.300038; 3.800309; 95833003.471966; 95833003.471966; 92191053.300038; 100.000000; 103.950438; 
7873585; 7889452; 5735; 8958988; []; 2; 2; 2; 2; 0; 273513417.043232; 273683072.000000; -0.062028; 273513417.043232; 273513417.043232; 273683072.000000; 100.000000; 99.938010; 
7873585; 7889358; 20202; 8468429; []; 117; 128; 119; 130; -11; 110592459.966030; 103954248.574293; 6.002409; 110592459.966030; 110592459.966030; 103954248.574293; 100.000000; 106.385705; 
7873585; 7889358; 5735; 8959027; []; 2; 2; 2; 2; 0; 244486400.000000; 244486400.000000; 0.000000; 244486400.000000; 244486400.000000; 244486400.000000; 100.000000; 100.000000; 
7873585; 7889229; 20202; 8471146; []; 139; 139; 142; 142; 0; 112236192.711494; 111814014.936987; 0.376151; 112236192.711494; 112236192.711494; 111814014.936987; 100.000000; 100.377571; 
7873585; 7889229; 5735; 8959066; []; 3; 3; 3; 3; 0; 280526080.000000; 280526080.000000; 0.000000; 280526080.000000; 280526080.000000; 280526080.000000; 100.000000; 100.000000; 
7873585; 7889190; 20202; 8474219; []; 121; 120; 123; 123; 0; 122707165.525833; 119950286.624225; 2.246714; 122707165.525833; 122707165.525833; 119950286.624225; 100.000000; 102.298351; 
7873585; 7889190; 5735; 8959118; []; 2; 2; 2; 2; 0; 258120192.000000; 258120192.000000; 0.000000; 258120192.000000; 258120192.000000; 258120192.000000; 100.000000; 100.000000; 
7873585; 7889180; 20202; 8901004; []; 211; 267; 290; 376; -86; 121046268.277367; 113941279.179990; 5.869647; 121046268.277367; 121046268.277367; 113941279.179990; 100.000000; 106.235659; 
7873585; 7889180; 5735; 8959157; []; 2; 2; 2; 2; 0; 273013376.000000; 273013376.000000; 0.000000; 273013376.000000; 273013376.000000; 273013376.000000; 100.000000; 100.000000; 
7873585; 7889170; 20202; 7958462; []; 148; 167; 153; 173; -20; 110895608.386347; 106420708.242601; 4.035237; 110895608.386347; 110895608.386347; 106420708.242601; 100.000000; 104.204915; 
7873585; 7889170; 5735; 8959196; []; 2; 2; 2; 2; 0; 343999232.000000; 343999232.000000; 0.000000; 343999232.000000; 343999232.000000; 343999232.000000; 100.000000; 100.000000; 
7873585; 7889160; 20202; 8500599; []; 143; 156; 145; 159; -14; 138267929.383142; 132199423.190471; 4.388947; 138267929.383142; 138267929.383142; 132199423.190471; 100.000000; 104.590418; 
7873585; 7889160; 5735; 8959235; []; 2; 2; 2; 2; 0; 367950800.000000; 367950800.000000; 0.000000; 367950800.000000; 367950800.000000; 367950800.000000; 100.000000; 100.000000; 
7873585; 7889150; 20202; 8570278; []; 780; 496; 871; 496; 375; 156334140.620060; 12845298.498259; 91.783434; 156334140.620060; 156334140.620060; 12845298.498259; 100.000000; 1217.053388; 
7873585; 7889150; 5735; 8959274; []; 2; 2; 2; 2; 0; 388172400.000000; 388172400.000000; 0.000000; 388172400.000000; 388172400.000000; 388172400.000000; 100.000000; 100.000000; 
7873585; 7889140; 20202; 8516811; []; 144; 159; 145; 161; -16; 130758383.888222; 120967334.796692; 7.487894; 130758383.888222; 130758383.888222; 120967334.796692; 100.000000; 108.093961; 
7873585; 7889140; 5735; 8959313; []; 2; 2; 2; 2; 0; 359154000.000000; 359154000.000000; 0.000000; 359154000.000000; 359154000.000000; 359154000.000000; 100.000000; 100.000000; 
7873585; 7889130; 20202; 8526592; []; 173; 173; 178; 178; 0; 125154137.951728; 125154137.951728; 0.000000; 125154137.951728; 125154137.951728; 125154137.951728; 100.000000; 100.000000; 
7873585; 7889130; 5735; 8959352; []; 2; 2; 2; 2; 0; 316883328.000000; 316883328.000000; 0.000000; 316883328.000000; 316883328.000000; 316883328.000000; 100.000000; 100.000000; 
7873585; 7889120; 20202; 8533870; []; 130; 131; 138; 139; -1; 179444065.524825; 179313660.525352; 0.072672; 179444065.524825; 179444065.524825; 179313660.525352; 100.000000; 100.072725; 
7873585; 7889120; 5735; 8959391; []; 2; 2; 2; 2; 0; 331286656.000000; 331286656.000000; 0.000000; 331286656.000000; 331286656.000000; 331286656.000000; 100.000000; 100.000000; 
7873585; 7889110; 20202; 8537654; []; 127; 129; 131; 133; -2; 119895843.982533; 119856657.294306; 0.032684; 119895843.982533; 119895843.982533; 119856657.294306; 100.000000; 100.032695; 
7873585; 7889110; 5735; 8959430; []; 2; 2; 2; 2; 0; 299981952.000000; 299981952.000000; 0.000000; 299981952.000000; 299981952.000000; 299981952.000000; 100.000000; 100.000000; 
7873585; 7889100; 20202; 8540592; []; 143; 147; 146; 150; -4; 180591374.239147; 180575927.491394; 0.008553; 180591374.239147; 180591374.239147; 180575927.491394; 100.000000; 100.008554; 
7873585; 7889100; 5735; 8959469; []; 2; 2; 2; 2; 0; 341732480.000000; 341732480.000000; 0.000000; 341732480.000000; 341732480.000000; 341732480.000000; 100.000000; 100.000000; 
7873585; 7889082; 20202; 8544141; []; 142; 143; 151; 157; -6; 191018088.246303; 199898404.621145; -4.648940; 191018088.246303; 191018088.246303; 199898404.621145; 100.000000; 95.557585; 
7873585; 7889082; 5735; 8959508; []; 2; 1; 2; 1; 1; 338612992.000000; 193062144.000000; 42.984425; 338612992.000000; 338612992.000000; 193062144.000000; 100.000000; 175.390672; 
7873585; 7889062; 20202; 8549617; []; 98; 126; 109; 143; -34; 121658503.798768; 176700475.350614; -45.243012; 121658503.798768; 121658503.798768; 176700475.350614; 100.000000; 68.850128; 
7873585; 7889062; 5735; 8959534; []; 2; 2; 2; 2; 0; 283821824.000000; 283821824.000000; 0.000000; 283821824.000000; 283821824.000000; 283821824.000000; 100.000000; 100.000000; 
7873585; 7889052; 20202; 8559632; []; 290; 301; 302; 314; -12; 177010443.519099; 176487135.181861; 0.295637; 177010443.519099; 177010443.519099; 176487135.181861; 100.000000; 100.296514; 
