Project ID;Image ID;Userjob ID;Prediction time;Number of tiles
95267849;95858225;209029311;8478;25257
82731537;82838892;209047851;15715;3558
118492022;118501032;209087674;76840;9886
181136007;181143686;209121067;2025;701
160950554;160963234;209124892;1474;1983
151547032;151558171;209125711;3107;1588
148113329;149591180;209130380;2160;1228
155192336;155193608;209132197;12073;2319
151746100;151755580;209160261;6729;1387
155194951;155198304;209166139;10117;1368
180770924;180841072;209172321;9849;2483
